date,open,high,low,close,volume,adj_close,ret
1950-08-01,18.02,18.02,18.02,18.02,1970000,18.02,-0.0038845172031075625
1950-08-02,17.950001,17.950001,17.950001,17.950001,1980000,17.950001,0.0022283564218184004
1950-08-03,17.99,17.99,17.99,17.99,1660000,17.99,0.0083379099499723
1950-08-04,18.139999,18.139999,18.139999,18.139999,1600000,18.139999,0.01488428968491129
1950-08-07,18.41,18.41,18.41,18.41,1850000,18.41,0.0027158609451385374
1950-08-08,18.459999,18.459999,18.459999,18.459999,2180000,18.459999,0.00812578592230695
1950-08-09,18.610001,18.610001,18.610001,18.610001,1760000,18.610001,-0.006985545030330775
1950-08-10,18.48,18.48,18.48,18.48,1870000,18.48,-0.01082245670995663
1950-08-11,18.280001000000002,18.280001000000002,18.280001000000002,18.280001000000002,1680000,18.280001000000002,0.0005470459219338863
1950-08-14,18.290001,18.290001,18.290001,18.290001,1280000,18.290001,0.0016401858042545125
1950-08-15,18.32,18.32,18.32,18.32,1330000,18.32,0.0010917030567685337
1950-08-16,18.34,18.34,18.34,18.34,1770000,18.34,0.010905179934569187
1950-08-17,18.540001,18.540001,18.540001,18.540001,2170000,18.540001,0.007551186216225192
1950-08-18,18.68,18.68,18.68,18.68,1780000,18.68,0.0010707173447537244
1950-08-21,18.700001,18.700001,18.700001,18.700001,1840000,18.700001,-0.0010695721353169985
1950-08-22,18.68,18.68,18.68,18.68,1550000,18.68,0.007494646680942241
1950-08-23,18.82,18.82,18.82,18.82,1580000,18.82,-0.0015939957492029366
1950-08-24,18.790001,18.790001,18.790001,18.790001,1620000,18.790001,-0.013304948733105393
1950-08-25,18.540001,18.540001,18.540001,18.540001,1610000,18.540001,-0.0005393742966894877
1950-08-28,18.530001000000002,18.530001000000002,18.530001000000002,18.530001000000002,1300000,18.530001000000002,0.0005396653783233951
1950-08-29,18.540001,18.540001,18.540001,18.540001,1890000,18.540001,-0.005933171201015552
1950-08-30,18.43,18.43,18.43,18.43,1490000,18.43,-0.000542593597395391
1950-08-31,18.42,18.42,18.42,18.42,1140000,18.42,0.007057491856677478
1950-09-01,18.549999,18.549999,18.549999,18.549999,1290000,18.549999,0.007008140539522367
1950-09-05,18.68,18.68,18.68,18.68,1250000,18.68,-0.007494593147751583
1950-09-06,18.540001,18.540001,18.540001,18.540001,1300000,18.540001,0.0026968175460184707
1950-09-07,18.59,18.59,18.59,18.59,1340000,18.59,0.008606777837547153
1950-09-08,18.75,18.75,18.75,18.75,1960000,18.75,-0.007466613333333316
1950-09-11,18.610001,18.610001,18.610001,18.610001,1860000,18.610001,0.013970982591564596
1950-09-12,18.870001000000002,18.870001000000002,18.870001000000002,18.870001000000002,1680000,18.870001000000002,0.011658663929058566
1950-09-13,19.09,19.09,19.09,19.09,2600000,19.09,0.004714510214772094
1950-09-14,19.18,19.18,19.18,19.18,2350000,19.18,0.005735192909280595
1950-09-15,19.290001,19.290001,19.290001,19.290001,2410000,19.290001,0.0041472263272563925
1950-09-18,19.370001000000002,19.370001000000002,19.370001000000002,19.370001000000002,2040000,19.370001000000002,-0.003097676659903348
1950-09-19,19.309998999999998,19.309998999999998,19.309998999999998,19.309998999999998,1590000,19.309998999999998,-0.00517866417289814
1950-09-20,19.209999,19.209999,19.209999,19.209999,2100000,19.209999,0.008329099860963085
1950-09-21,19.370001000000002,19.370001000000002,19.370001000000002,19.370001000000002,1650000,19.370001000000002,0.003613835642032326
1950-09-22,19.440001000000002,19.440001000000002,19.440001000000002,19.440001000000002,2510000,19.440001000000002,-0.0010288579717665502
1950-09-25,19.42,19.42,19.42,19.42,2020000,19.42,-0.014418177136972354
1950-09-26,19.139999,19.139999,19.139999,19.139999,2280000,19.139999,0.014106636055728039
1950-09-27,19.41,19.41,19.41,19.41,2360000,19.41,0.0005151983513653757
1950-09-28,19.42,19.42,19.42,19.42,2200000,19.42,0.0015448506694129005
1950-09-29,19.450001,19.450001,19.450001,19.450001,1800000,19.450001,0.01233933098512452
1950-10-02,19.690001000000002,19.690001000000002,19.690001000000002,19.690001000000002,2200000,19.690001000000002,-0.0015236667585746266
1950-10-03,19.66,19.66,19.66,19.66,2480000,19.66,0.01729399796541209
1950-10-04,20.0,20.0,20.0,20.0,2920000,20.0,-0.005500049999999979
1950-10-05,19.889999,19.889999,19.889999,19.889999,2490000,19.889999,0.011563700933318488
1950-10-06,20.120001000000002,20.120001000000002,20.120001000000002,20.120001000000002,2360000,20.120001000000002,-0.005964264117084395
1950-10-09,20.0,20.0,20.0,20.0,2330000,20.0,-0.01099994999999987
1950-10-10,19.780001000000002,19.780001000000002,19.780001000000002,19.780001000000002,1870000,19.780001000000002,0.004044489178741673
1950-10-11,19.860001,19.860001,19.860001,19.860001,2200000,19.860001,-0.0005035749998199002
1950-10-13,19.85,19.85,19.85,19.85,2030000,19.85,-0.007052947103274643
1950-10-16,19.709999,19.709999,19.709999,19.709999,1630000,19.709999,0.009132420554663678
1950-10-17,19.889999,19.889999,19.889999,19.889999,2010000,19.889999,0.006033233083621692
1950-10-18,20.01,20.01,20.01,20.01,2410000,20.01,0.0004997501249375258
1950-10-19,20.02,20.02,20.02,20.02,2250000,20.02,-0.0029970529470528806
1950-10-20,19.959999,19.959999,19.959999,19.959999,1840000,19.959999,0.0
1950-10-23,19.959999,19.959999,19.959999,19.959999,1850000,19.959999,0.006012074449502691
1950-10-24,20.08,20.08,20.08,20.08,1790000,20.08,-0.0014940737051791775
1950-10-25,20.049999,20.049999,20.049999,20.049999,1930000,20.049999,-0.02194503850099938
1950-10-26,19.610001,19.610001,19.610001,19.610001,3000000,19.610001,0.008159051088268532
1950-10-27,19.77,19.77,19.77,19.77,1800000,19.77,-0.00809301972685883
1950-10-30,19.610001,19.610001,19.610001,19.610001,1790000,19.610001,-0.004079551041328289
1950-10-31,19.530001000000002,19.530001000000002,19.530001000000002,19.530001000000002,2010000,19.530001000000002,0.0015359958250895644
1950-11-01,19.559998999999998,19.559998999999998,19.559998999999998,19.559998999999998,1780000,19.559998999999998,0.008691258113050049
1950-11-02,19.73,19.73,19.73,19.73,1580000,19.73,0.00608210846426771
1950-11-03,19.85,19.85,19.85,19.85,1560000,19.85,-0.024685088161209068
1950-11-06,19.360001,19.360001,19.360001,19.360001,2580000,19.360001,0.010330474673012624
1950-11-08,19.559998999999998,19.559998999999998,19.559998999999998,19.559998999999998,1850000,19.559998999999998,0.011758794057198152
1950-11-09,19.790001,19.790001,19.790001,19.790001,1760000,19.790001,0.00757958526631719
1950-11-10,19.940001000000002,19.940001000000002,19.940001000000002,19.940001000000002,1640000,19.940001000000002,0.003510481268280685
1950-11-13,20.01,20.01,20.01,20.01,1630000,20.01,-0.007496201899050536
1950-11-14,19.860001,19.860001,19.860001,19.860001,1780000,19.860001,-0.002014148941885785
1950-11-15,19.82,19.82,19.82,19.82,1620000,19.82,-0.005045459132189789
1950-11-16,19.719998999999998,19.719998999999998,19.719998999999998,19.719998999999998,1760000,19.719998999999998,0.007099493260623424
1950-11-17,19.860001,19.860001,19.860001,19.860001,2130000,19.860001,0.003524622179021941
1950-11-20,19.93,19.93,19.93,19.93,2250000,19.93,-0.002508830908178661
1950-11-21,19.879998999999998,19.879998999999998,19.879998999999998,19.879998999999998,2010000,19.879998999999998,0.014084558052543272
1950-11-22,20.16,20.16,20.16,20.16,2730000,20.16,0.007936507936507908
1950-11-24,20.32,20.32,20.32,20.32,2620000,20.32,-0.006889763779527547
1950-11-27,20.18,20.18,20.18,20.18,1740000,20.18,-0.03072353815659079
1950-11-28,19.559998999999998,19.559998999999998,19.559998999999998,19.559998999999998,2970000,19.559998999999998,-0.009713599678609186
1950-11-29,19.370001000000002,19.370001000000002,19.370001000000002,19.370001000000002,2770000,19.370001000000002,0.007227619657840911
1950-11-30,19.51,19.51,19.51,19.51,2080000,19.51,0.007688364941055736
1950-12-01,19.66,19.66,19.66,19.66,1870000,19.66,-0.033570701932858604
1950-12-04,19.0,19.0,19.0,19.0,2510000,19.0,0.01631573684210519
1950-12-05,19.309998999999998,19.309998999999998,19.309998999999998,19.309998999999998,1940000,19.309998999999998,0.007250233415341034
1950-12-06,19.450001,19.450001,19.450001,19.450001,2010000,19.450001,-0.002570745369113392
1950-12-07,19.4,19.4,19.4,19.4,1810000,19.4,0.0
1950-12-08,19.4,19.4,19.4,19.4,2310000,19.4,0.016494793814432862
1950-12-11,19.719998999999998,19.719998999999998,19.719998999999998,19.719998999999998,2600000,19.719998999999998,-0.002028346958841021
1950-12-12,19.68,19.68,19.68,19.68,2140000,19.68,-0.0005081300813006839
1950-12-13,19.67,19.67,19.67,19.67,2030000,19.67,-0.012201321809862886
1950-12-14,19.43,19.43,19.43,19.43,2660000,19.43,-0.00514668039114774
1950-12-15,19.33,19.33,19.33,19.33,2420000,19.33,0.026901189860320862
1950-12-18,19.85,19.85,19.85,19.85,4500000,19.85,0.005541511335012572
1950-12-19,19.959999,19.959999,19.959999,19.959999,3650000,19.959999,0.0005010020291082995
1950-12-20,19.969998999999998,19.969998999999998,19.969998999999998,19.969998999999998,3510000,19.969998999999998,0.000500801226880565
1950-12-21,19.98,19.98,19.98,19.98,3990000,19.98,0.0045045045045044585
1950-12-22,20.07,20.07,20.07,20.07,2720000,20.07,-0.007473841554558991
1950-12-26,19.92,19.92,19.92,19.92,2660000,19.92,0.019076255020080257
1950-12-27,20.299999,20.299999,20.299999,20.299999,2940000,20.299999,0.003940886893639695
1950-12-28,20.379998999999998,20.379998999999998,20.379998999999998,20.379998999999998,3560000,20.379998999999998,0.002453434860325565
1950-12-29,20.43,20.43,20.43,20.43,3440000,20.43,0.016642192853646653
1951-01-02,20.77,20.77,20.77,20.77,3030000,20.77,-0.003851661049590671
1951-01-03,20.690001000000002,20.690001000000002,20.690001000000002,20.690001000000002,3370000,20.690001000000002,0.008699854581930566
1951-01-04,20.870001000000002,20.870001000000002,20.870001000000002,20.870001000000002,3390000,20.870001000000002,0.0
1951-01-05,20.870001000000002,20.870001000000002,20.870001000000002,20.870001000000002,3390000,20.870001000000002,0.006228988680929914
1951-01-08,21.0,21.0,21.0,21.0,2780000,21.0,0.005714333333333377
1951-01-09,21.120001000000002,21.120001000000002,21.120001000000002,21.120001000000002,3800000,21.120001000000002,-0.01278413765226627
1951-01-10,20.85,20.85,20.85,20.85,3270000,20.85,0.016307002398081583
1951-01-11,21.190001000000002,21.190001000000002,21.190001000000002,21.190001000000002,3490000,21.190001000000002,-0.0037753655603887104
1951-01-12,21.110001,21.110001,21.110001,21.110001,2950000,21.110001,0.00900037854095781
1951-01-15,21.299999,21.299999,21.299999,21.299999,2830000,21.299999,0.007511737441865618
1951-01-16,21.459999,21.459999,21.459999,21.459999,3740000,21.459999,0.0041938492168616115
1951-01-17,21.549999,21.549999,21.549999,21.549999,3880000,21.549999,-0.006960510763828864
1951-01-18,21.4,21.4,21.4,21.4,3490000,21.4,-0.0018691121495326701
1951-01-19,21.360001,21.360001,21.360001,21.360001,3170000,21.360001,-0.008427012714091187
1951-01-22,21.18,21.18,21.18,21.18,2570000,21.18,0.0037771482530690736
1951-01-23,21.26,21.26,21.26,21.26,2080000,21.26,-0.004703668861712251
1951-01-24,21.16,21.16,21.16,21.16,1990000,21.16,-0.006143620037807107
1951-01-25,21.030001000000002,21.030001000000002,21.030001000000002,21.030001000000002,2520000,21.030001000000002,0.010936708942619555
1951-01-26,21.26,21.26,21.26,21.26,2230000,21.26,0.019285042333019753
