date,snp,djia,nasdaq,microsoft,apple,google,vix
2005-03-22,1171.709961,10470.509766,1989.339966,18.114382,5.50461,88.722946,14.27
2005-03-23,1172.530029,10456.019531,1990.219971,18.257843,5.468623,88.911713,14.06
2005-03-24,1171.420044,10442.870117,1991.060059,18.333357,5.462197,89.045845,13.42
2005-03-28,1174.280029,10485.650391,1992.52002,18.272943,5.466053,90.123833,13.75
2005-03-29,1165.359985,10405.700195,1973.880005,18.061522,5.365805,89.20481099999998,14.49
2005-03-30,1181.410034,10540.929688,2005.670044,18.242743,5.500754,89.641968,13.64
2005-03-31,1180.589966,10503.759766,1999.22998,18.250292,5.355524,89.671768,14.02
2005-04-01,1172.920044,10404.299805,1984.810059,18.212536,5.255277,89.438293,14.09
2005-04-04,1176.119995,10421.139648,1991.069946,18.295601,5.280982,92.046326,14.11
2005-04-05,1181.390015,10458.459961,1999.319946,18.476812,5.383799,93.675728,13.68
2005-04-06,1184.069946,10486.019531,1999.140015,18.62784,5.4403489999999985,93.998627,13.15
2005-04-07,1191.140015,10546.320313,2018.790039,18.95252,5.5984300000000005,96.25396,12.33
2005-04-08,1181.199951,10461.339844,1999.349976,18.831705,5.621565,95.404488,12.62
2005-04-11,1181.209961,10448.55957,1992.119995,18.854362,5.3876550000000005,95.990677,11.98
2005-04-12,1187.76001,10507.969727,2005.400024,19.118637,5.482761,96.353317,11.3
2005-04-13,1173.790039,10403.929688,1974.369995,18.907215,5.274555,95.841644,13.31
2005-04-14,1162.050049,10278.75,1946.709961,18.756197,4.788741,95.106422,14.53
2005-04-15,1142.619995,10087.509766,1908.150024,18.469267,4.543264,91.902267,17.74
2005-04-18,1145.97998,10071.25,1912.920044,18.61273,4.577965,92.880898,16.56
2005-04-19,1152.780029,10127.410156,1932.359985,18.59763,4.766891,95.081589,14.96
2005-04-20,1137.5,10012.360352,1913.76001,18.363558,4.5638260000000015,98.409935,16.92
2005-04-21,1159.949951,10218.599609,1962.410034,19.088434,4.778459,101.450165,14.41
2005-04-22,1152.119995,10157.709961,1932.189941,18.861902,4.562541,107.207718,15.38
2005-04-25,1162.099976,10242.469727,1950.780029,18.869459,4.752754,111.04277,14.62
2005-04-26,1151.829956,10151.129883,1927.439941,18.695789,4.651222,108.668221,14.91
2005-04-27,1156.380005,10198.799805,1930.430054,18.869459,4.620375,109.179893,14.87
2005-04-28,1143.219971,10070.370117,1904.180054,18.46171,4.5676830000000015,109.015953,16.86
2005-04-29,1156.849976,10192.509766,1921.650024,19.103527,4.634514,109.289177,15.31
2005-05-02,1162.160034,10251.700195,1928.650024,19.050684,4.682067,110.426781,15.12
2005-05-03,1161.170044,10256.950195,1933.069946,19.148842,4.653792,112.364182,14.53
2005-05-04,1175.650024,10384.639648,1962.22998,19.035583,4.774603,113.511719,13.85
2005-05-05,1172.630005,10340.379883,1961.800049,19.050684,4.7141980000000006,112.75663,13.98
